name,link,location,continent,country,region,locality,rating,elev_diff,min_alt,max_alt,total_km,easy_km,inter_km,diff_km,num_lifts,price,current_season,general_season,opening_times,approx_season_start,approx_season_end,original_currency,original_value,exchange_rate,usd_price
Speikboden – Skiworld Ahrntal,https://www.skiresort.info/ski-resort/speikboden-skiworld-ahrntal/,Europe > Italy > Trentino-Alto Adige (Trentino-Südtirol) > South Tyrol (Südtirol) > Tauferer Ahrntal (Valli di Tures e Aurina) > Skiworld Ahrntal,Europe,Italy,Trentino-Alto Adige (Trentino-Südtirol) > South Tyrol (Südtirol) > Tauferer Ahrntal (Valli di Tures e Aurina),Skiworld Ahrntal,4.2,1450 m,950 m,2400 m,41.5 km,22.8 km,13 km,5.7 km,8,€ 69.50,2025-12-06 - 2026-04-19,early December - mid April,08:30 - 16:00,12-07,04-15,EUR,69.5,1.1553,80.29335
Obersaxen/​Mundaun/​Val Lumnezia,https://www.skiresort.info/ski-resort/obersaxenmundaunval-lumnezia/,Europe > Switzerland > Eastern Switzerland > Graubünden > Surselva,Europe,Switzerland,Eastern Switzerland > Graubünden,Surselva,4.2,1109 m,1201 m,2310 m,120 km,60 km,40 km,20 km,15,"SFr. 67,- / approx. € 72,-",2025-12-19 - 2026-04-06,mid December - early April,09:00 - 16:00,12-15,04-07,CHF,67.0,1.2428,83.26759999999999
Jakobshorn (Davos Klosters),https://www.skiresort.info/ski-resort/jakobshorn-davos-klosters/,Europe > Switzerland > Eastern Switzerland > Graubünden > Davos Klosters,Europe,Switzerland,Eastern Switzerland > Graubünden,Davos Klosters,4.2,1033 m,1535 m,2568 m,41.2 km,25.5 km,13.2 km,2.5 km,13,"SFr. 84,- / approx. € 90,-",2025-12-06 - 2026-04-19,early December - late April,08:15 - 16:00,12-07,04-23,CHF,84.0,1.2428,104.39519999999999
Baqueira/​Beret,https://www.skiresort.info/ski-resort/baqueiraberet/,Europe > Spain > Catalonia (Catalunya) > Lleida > Val d’Aran,Europe,Spain,Catalonia (Catalunya) > Lleida,Val d’Aran,4.2,1110 m,1500 m,2610 m,166 km,77 km,68 km,21 km,36,"€ 69,-",2025-11-29 - 2026-04-12,early December - mid April,08:45 - 16:45,12-07,04-15,EUR,69.0,1.1553,79.7157
Arabba/​Marmolada,https://www.skiresort.info/ski-resort/arabbamarmolada/,Europe > Italy > Venetia (Veneto) > Belluno,Europe,Italy,Venetia (Veneto),Belluno,4.1,1823 m,1446 m,3269 m,63 km,23.6 km,30.5 km,8.9 km,26,"€ 73,-",2025-12-06 - 2026-04-19,early December - mid April,08:30 - 16:30,12-07,04-15,EUR,73.0,1.1553,84.3369
Villars/​Gryon/​Les Diablerets,https://www.skiresort.info/ski-resort/villarsgryonles-diablerets/,Europe > Switzerland > Lemanic Region > Waadt,Europe,Switzerland,Lemanic Region,Waadt,4.1,896 m,1224 m,2120 m,87 km,66 km,18 km,3 km,30,"SFr. 69,- / approx. € 74,-",2025-12-06 - 2026-04-06,early December - mid April,08:30 - 16:30,12-07,04-15,CHF,69.0,1.2428,85.75319999999999
Belalp – Blatten,https://www.skiresort.info/ski-resort/belalp-blatten/,Europe > Switzerland > Lemanic Region > Valais (Wallis),Europe,Switzerland,Lemanic Region,Valais (Wallis),4.1,1796 m,1322 m,3118 m,38.5 km,15.1 km,12.1 km,11.3 km,13,"SFr. 74,- / approx. € 79,-",2025-12-13 - 2026-04-06,mid December - early April,09:00 - 16:00,12-15,04-07,CHF,74.0,1.2428,91.96719999999999
Le Grand Massif – Flaine/​Les Carroz/​Morillon/​Samoëns/​Sixt,https://www.skiresort.info/ski-resort/le-grand-massif-flaineles-carrozmorillonsamoenssixt/,Europe > France > Auvergne-Rhône-Alpes > Savoie Mont Blanc > Haute-Savoie > Bonneville > Faucigny | Europe > France > Auvergne-Rhône-Alpes > Savoie Mont Blanc > Haute-Savoie > Bonneville > Faucigny Grand Massif,Europe,France,Auvergne-Rhône-Alpes > Savoie Mont Blanc > Haute-Savoie > Bonneville | Auvergne-Rhône-Alpes > Savoie Mont Blanc > Haute-Savoie > Bonneville,Faucigny | Faucigny Grand Massif,4.1,1783 m,697 m,2480 m,265 km,135 km,95 km,35 km,62,"€ 59,-",2025-12-06 - 2026-04-19,mid December - late April,08:30 - 16:30,12-15,04-23,EUR,59.0,1.1553,68.1627
Sierra Nevada – Pradollano,https://www.skiresort.info/ski-resort/sierra-nevada-pradollano/,Europe > Spain > Andalusia (Andalucía) > Granada,Europe,Spain,Andalusia (Andalucía),Granada,4.1,1200 m,2100 m,3300 m,112.5 km,51.5 km,53 km,8 km,23,"€ 62,-",2025-11-29 - 2026-04-26,late November - early May,09:00 - 16:45,11-23,05-07,EUR,62.0,1.1553,71.6286
Tandådalen/​Hundfjället (Sälen),https://www.skiresort.info/ski-resort/tandaadalenhundfjaellet-saelen/,Europe > Sweden > Northern Sweden (Norrland) > Dalarna County > Sälen,Europe,Sweden,Northern Sweden (Norrland) > Dalarna County,Sälen,4.1,300 m,572 m,872 m,45 km,18 km,15 km,12 km,48,"Skr 658,- / approx. € 60,-",2025-12-12 - 2026-04-12,mid November - early May,09:00 - 18:00,11-15,05-07,SEK,658.0,0.10467,68.87286
Megève/​Saint-Gervais,https://www.skiresort.info/ski-resort/megevesaint-gervais/,Europe > France > Auvergne-Rhône-Alpes > Savoie Mont Blanc > Haute-Savoie > Bonneville > Pays du Mont Blanc,Europe,France,Auvergne-Rhône-Alpes > Savoie Mont Blanc > Haute-Savoie > Bonneville,Pays du Mont Blanc,4.1,1503 m,850 m,2353 m,263 km,98 km,134 km,31 km,79,€ 63.50,2025-12-06 - 2026-04-06,mid December - early April,08:30 - 17:30,12-15,04-07,EUR,63.5,1.1553,73.36155
